recommended_work_id,completed_work_id,internal_mp_id,mp_name_normalized,similarity_score,recommended_description,completed_description,recommended_amount,completed_amount,audit_status,pipeline_created_at
155289,155294,INTERNAL_MP_537,ABU TAHER KHAN,1.0,Installation Solar High Mast Light Near Hogalberia PS Under Hogalberia GP under Karimpur-I Block,Installation Solar High Mast Light Near Hanumantala Under Shikarpur  GP under Karimpur-I Block,296626.0,150734.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
155289,155298,INTERNAL_MP_537,ABU TAHER KHAN,1.0,Installation Solar High Mast Light Near Hogalberia PS Under Hogalberia GP under Karimpur-I Block,Installation Solar High Mast Light Near Durlavpur Ghatpara River bank  Under harekrishnapur  GP under Karimpur-I Block,296626.0,150734.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
234963,220906,INTERNAL_MP_537,ABU TAHER KHAN,0.9694,Supply and Installation of 20 KVA 3Phase silent DG Set with auto start auto Stop Panel at Murutia Police Station under Karimpur -II Block,Supply and Installation of 20 KVA 3phase Silent DG set with auto start Auto stop panel at Thanarpara  Police station under Karimpur-II Block,550000.0,550000.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
173914,173908,INTERNAL_MP_529,ADHIKARI SOUMENDU,1.0,Construction of Concrete Road,Construction of Concrete Road,700000.0,1347251.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
173914,173909,INTERNAL_MP_529,ADHIKARI SOUMENDU,1.0,Construction of Concrete Road,Construction of Concrete Road,700000.0,1995673.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
173914,173916,INTERNAL_MP_529,ADHIKARI SOUMENDU,1.0,Construction of Concrete Road,Construction of Concrete Road,700000.0,497616.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
173914,173920,INTERNAL_MP_529,ADHIKARI SOUMENDU,1.0,Construction of Concrete Road,Construction of Concrete Road,700000.0,577616.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
173914,173922,INTERNAL_MP_529,ADHIKARI SOUMENDU,1.0,Construction of Concrete Road,Construction of Concrete Road,700000.0,147617.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
173914,173926,INTERNAL_MP_529,ADHIKARI SOUMENDU,1.0,Construction of Concrete Road,Construction of Concrete Road,700000.0,427140.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
178169,178172,INTERNAL_MP_193,ADV ADOOR PRAKASH,0.9579,Installation of MML at near Earumala SC Colony  in Panavoor Grama Panchayath,Installation of MML at Kulappara SC Colony  in Panavoor Grama Panchayath,255470.0,250064.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
