internal_vendor_id,vendor_name_raw,vendor_name_normalized,total_received_amount,total_transaction_count,unique_mps_served,unique_states_served,primary_state,primary_activity,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_VND_02035,TEKLO BORO BASUMATARY,TEKLO BORO BASUMATARY,2199774.0,2,1,1,ASSAM,Construction of culverts and bridges,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02036,SANTOSH KUMAR GARG,SANTOSH KUMAR GARG,2199496.0,3,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02037,KR CONSTRUCTIONS,KR CONSTRUCTIONS,2199451.0,2,1,1,TAMIL NADU,Construction of bus-sheds or bus-stops,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02038,Sri Elumalaiyan Enterprises,SRI ELUMALAIYAN ENTERPRISES,2198634.0,2,1,1,TAMIL NADU,Construction of common work sheds/ common covered sitting area,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02039,BDO DHARAMSHALA MPLADS,BDO DHARAMSHALA MPLADS,2198310.0,10,2,1,HIMACHAL PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02040,Tottadi Manikanta,TOTTADI MANIKANTA,2198098.0,5,1,1,ANDHRA PRADESH,Installing tube-wells and borewells,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02041,BHARDWAJ CONTRACTOR,BHARDWAJ CONTRACTOR,2197532.0,7,1,1,RAJASTHAN,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02042,Salim Constructions,SALIM CONSTRUCTIONS,2197303.0,2,1,1,WEST BENGAL,Construction of common work sheds/ common covered sitting area,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02043,Talibpur Pandori Cooperative labour and construction society ltd,TALIBPUR PANDORI COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD,2197259.0,7,1,1,PUNJAB,Development of public parks,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02044,Yuvraj Construction,YUVRAJ CONSTRUCTION,2196405.0,2,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
