internal_mp_id,mp_name_normalized,constituency_normalized,state_normalized,allocated_amount,total_expenditure,unspent_amount,utilization_pct,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_MP_029,PHANI BHUSAN CHOUDHURY,BARPETA,ASSAM,147000000.0,41759331.0,105240669.0,28.41,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_030,DILIP SAIKIA,DARRANG-UDALGURI,ASSAM,147000000.0,25726095.0,121273905.0,17.5,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_031,RAKIBUL HUSSAIN,DHUBRI,ASSAM,147000000.0,46453373.0,100546627.0,31.6,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_032,SHRI SARBANANDA SONOWAL (18LS),DIBRUGARH,ASSAM,147000000.0,23630250.0,123369750.0,16.08,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_033,AMARSING TISSO,DIPHU,ASSAM,147000000.0,70190709.0,76809291.0,47.75,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_034,BIJULI KALITA MEDHI,GUWAHATI,ASSAM,147000000.0,71052648.0,75947352.0,48.34,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_035,GAURAV GOGOI,JORHAT,ASSAM,147000000.0,39747670.0,107252330.0,27.04,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_036,KRIPANATH MALLAH,KARIMGANJ,ASSAM,147000000.0,66488500.0,80511500.0,45.23,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_037,KAMAKHYA PRASAD TASA,KAZIRANGA,ASSAM,147000000.0,11985122.0,135014878.0,8.15,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_038,JOYANTA BASUMATARY,KOKRAJHAR,ASSAM,147000000.0,62530971.0,84469029.0,42.54,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_039,PRADAN BARUAH,LAKHIMPUR,ASSAM,147000000.0,56052727.0,90947273.0,38.13,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_040,PRADYUT BORDOLOI,NOWGONG,ASSAM,98000000.0,67125657.0,30874343.0,68.5,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_041,PARIMAL SUKLABAIDYA,SILCHAR,ASSAM,148300157.11,5386762.0,142913395.11,3.63,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_042,RANJIT DUTTA,SONITPUR,ASSAM,147000000.0,65900399.0,81099601.0,44.83,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_043,PRADEEP KUMAR SINGH,ARARIA,BIHAR,147000000.0,118278146.0,28721854.0,80.46,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_044,SUDAMA PRASAD,ARRAH,BIHAR,147000000.0,57716958.0,89283042.0,39.26,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_045,ABHAY KUMAR SINHA,AURANGABAD,BIHAR,147000000.0,72972894.0,74027106.0,49.64,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_046,GIRIDHARI YADAV,BANKA,BIHAR,147000000.0,114805889.0,32194111.0,78.1,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_047,GIRIRAJ SINGH,BEGUSARAI,BIHAR,147000000.0,32994877.0,114005123.0,22.45,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_048,AJAY KUMAR MANDAL,BHAGALPUR,BIHAR,147000000.0,75252620.0,71747380.0,51.19,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_049,SUDHAKAR SINGH,BUXAR,BIHAR,185211956.54,123581875.0,61630081.53999999,66.72,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_050,MR GOPAL JEE THAKUR,DARBHANGA,BIHAR,147000000.0,75767756.0,71232244.0,51.54,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_051,JITAN RAM MANJHI,GAYA,BIHAR,147000000.0,59449374.0,87550626.0,40.44,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_052,ALOK KUMAR SUMAN,GOPALGANJ,BIHAR,147000000.0,50920280.0,96079720.0,34.64,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_053,CHIRAG PASWAN,HAJIPUR,BIHAR,147000000.0,51506335.0,95493665.0,35.04,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_054,SURENDRA PRASAD YADAV,JAHANABAD,BIHAR,155325714.0,68477331.0,86848383.0,44.09,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_055,ARUN BHARTI,JAMUI,BIHAR,194924621.11,132119553.0,62805068.110000014,67.78,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_056,RAMPRIT MANDAL,JHANJHARPUR,BIHAR,147000000.0,107510581.0,39489419.0,73.14,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_057,RAJA RAM SINGH,KARAKAT,BIHAR,147000000.0,71841783.0,75158217.0,48.87,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_058,TARIQ ANWAR,KATIHAR,BIHAR,147000000.0,79735060.0,67264940.0,54.24,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_059,RAJESH VERMA,KHAGARIA,BIHAR,147000000.0,74186362.0,72813638.0,50.47,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_060,DR MOHAMMAD JAWED,KISHANGANJ,BIHAR,148669229.11,89065400.0,59603829.110000014,59.91,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_061,DINESH CHANDRA YADAV,MADHEPURA,BIHAR,150070866.11,92486814.0,57584052.110000014,61.63,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_062,ASHOK KUMAR YADAV,MADHUBANI,BIHAR,147000000.0,70438959.0,76561041.0,47.92,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_063,SHRI JANARDAN SINGH SIGRIWAL,MAHARAJGANJ,BIHAR,147000000.0,46417759.0,100582241.0,31.58,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_064,RAJIV RANJAN (LALAN) SINGH,MUNGER,BIHAR,147000000.0,0.0,147000000.0,0.0,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_065,RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,BIHAR,147000000.0,96375137.0,50624863.0,65.56,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_066,KAUSHALENDRA KUMAR,NALANDA,BIHAR,147000000.0,44517141.0,102482859.0,30.28,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_067,VIVEK THAKUR,NAWADA,BIHAR,147000000.0,3164487.0,143835513.0,2.15,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_068,SANJAY JAISWAL,PASCHIM CHAMPARAN,BIHAR,147000000.0,0.0,147000000.0,0.0,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_069,MISHA BHARTI,PATALIPUTRA,BIHAR,147000000.0,0.0,147000000.0,0.0,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_070,RAVI SHANKAR PRASAD,PATNA SAHIB,BIHAR,147000000.0,56647683.0,90352317.0,38.54,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_071,RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,BIHAR,147000000.0,72622818.0,74377182.0,49.4,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_072,RADHA MOHAN SINGH,PURVI CHAMPARAN,BIHAR,147000000.0,69803891.0,77196109.0,47.49,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_073,SHAMBHAVI,SAMASTIPUR,BIHAR,147000000.0,24196418.0,122803582.0,16.46,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_074,RAJIV PRATAP RUDY,SARAN,BIHAR,147000000.0,0.0,147000000.0,0.0,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_075,MANOJ KUMAR,SASARAM,BIHAR,147000000.0,95686097.0,51313903.0,65.09,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_076,LOVELY ANAND,SHEOHAR,BIHAR,147000000.0,43561211.0,103438789.0,29.63,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_077,DEVESH CHANDRA THAKUR,SITAMARHI,BIHAR,163809205.11,41894417.0,121914788.11,25.58,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
