internal_mp_id,mp_name_normalized,constituency_normalized,state_normalized,house,allocated_amount,total_expenditure,unspent_amount,utilization_pct,utilization_percentile,utilization_robust_zscore,recommended_works_count,completed_works_count,pending_works_count,completion_rate_pct,completion_rate_percentile,completion_rate_robust_zscore,transaction_count,successful_payments_count,pending_payments_count,successful_payment_rate_pct,pending_payment_rate_pct,pending_payment_rate_robust_zscore,average_transaction_amount,distinct_vendor_count,vendor_hhi,vendor_hhi_percentile,vendor_hhi_robust_zscore,top_vendor_share_pct,feature_generated_at
INTERNAL_MP_144,MIAN ALTAF AHMAD,ANANTNAG,JAMMU AND KASHMIR,Lok Sabha,147000000.0,24523857.0,122476143.0,16.68,0.24677716390423574,-0.6959837425348374,113,14,99,11.02,0.23204419889502761,-0.6596618478944059,35,35,0,100.0,0.0,-0.6745,700681.6285714286,27,1105.06,0.5101289134438306,0.032235582280200965,28.11,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_145,ABDUL RASHID SHEIKH,BARAMULLAH,JAMMU AND KASHMIR,Lok Sabha,147000000.0,27714021.0,119285979.0,18.85,0.287292817679558,-0.5988593231585931,114,44,70,27.85,0.5322283609576427,0.05384129478315537,70,67,3,95.71428571428572,4.285714285714286,0.9828428571428571,395914.5857142857,38,664.89,0.3443830570902394,-0.37120872401141464,12.89,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_146,SHRI JUGAL KISHORE SHARMA,JAMMU,JAMMU AND KASHMIR,Lok Sabha,147000000.0,30369749.0,116630251.0,20.66,0.31675874769797424,-0.5178477106834771,169,42,127,19.91,0.3996316758747698,-0.2827727844123191,96,95,1,98.95833333333334,1.0416666666666665,-0.27167361111111116,316351.5520833333,62,333.99,0.17495395948434622,-0.6745,8.8,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_147,AGA SYED RUHULLAH MEHDI,SRINAGAR,JAMMU AND KASHMIR,Lok Sabha,147000000.0,20822671.0,126177329.0,14.17,0.20257826887661143,-0.8083258128732581,136,62,74,31.31,0.58195211786372,0.200527027027027,80,65,15,81.25,18.75,6.576375,260283.3875,50,419.38,0.2265193370165746,-0.5962345359423835,12.86,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_148,JITENDRA SINGH,UDHAMPUR,JAMMU AND KASHMIR,Lok Sabha,147000000.0,47977099.0,99022901.0,32.64,0.5064456721915286,0.018350696748507138,141,185,-44,56.75,0.8655616942909761,1.2790487115021998,219,215,4,98.17351598173516,1.82648401826484,0.03182572298325719,219073.5114155251,123,449.27,0.24125230202578268,-0.5688384155455904,16.36,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_149,KALI CHARAN SINGH,CHATRA,JHARKHAND,Lok Sabha,147000000.0,49787316.0,97212684.0,33.87,0.5257826887661142,0.07340278699402791,429,75,354,14.88,0.2974217311233886,-0.49601822752985525,291,265,26,91.06529209621993,8.934707903780069,2.78067067583047,171090.43298969071,7,3814.14,0.848987108655617,2.5152828169588255,53.15,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_150,DULU MAHATO,DHANBAD,JHARKHAND,Lok Sabha,147000000.0,50288360.0,96711640.0,34.21,0.5322283609576427,0.08862043795620457,322,57,265,15.04,0.3020257826887661,-0.48923507228158375,269,267,2,99.25650557620817,0.7434944237918215,-0.3869807930607187,186945.57620817845,4,6167.17,0.9410681399631676,4.671987172170131,76.7,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_151,NALIN SOREN,DUMKA,JHARKHAND,Lok Sabha,147364097.11,86550781.0,60813316.110000014,58.73,0.8821362799263351,1.1860816191108166,319,106,213,24.94,0.4843462246777164,-0.06952734129478301,289,289,0,100.0,0.0,-0.6745,299483.67128027685,11,1069.51,0.4990791896869245,-0.0003482946052453779,16.87,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_152,SHRI CHANDRA PRAKASH CHOUDHARY,GIRIDIH,JHARKHAND,Lok Sabha,147000000.0,54889366.0,92110634.0,37.34,0.5893186003683242,0.22871234240212376,625,49,576,7.27,0.17495395948434622,-0.8186420490257698,297,266,31,89.56228956228956,10.437710437710438,3.3619017957351294,184812.68013468012,6,2457.31,0.7532228360957642,1.2716602663405352,29.7,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_153,NISHIKANT DUBEY,GODDA,JHARKHAND,Lok Sabha,147000000.0,1785510.0,145214490.0,1.21,0.029465930018416207,-1.3883868613138688,2,0,2,0.0,0.03959484346224678,-1.1268516656191072,1,1,0,100.0,0.0,-0.6745,1785510.0,1,10000.0,0.996316758747698,8.1850240453866,100.0,2026-08-26T10:44:17.312957+00:00
