internal_vendor_id,vendor_name_normalized,total_received_amount,vendor_revenue_percentile,vendor_revenue_robust_zscore,total_transaction_count,average_ticket_size,unique_mps_served,unique_states_served,primary_state,primary_activity,primary_mp_id,primary_mp_name,single_mp_reliance_pct,feature_generated_at
INTERNAL_VND_14060,GRAM PANCHAYAT SIRRI,249880.0,0.37172096348929706,-0.3032141630268683,2,124940.0,1,1,CHHATTISGARH,Construction of buildings for community cultural activities,INTERNAL_MP_089,JYOTSNA CHARANDAS MAHANT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14061,JUNEJ GRAM PANCHAYAT,249879.0,0.37167627474639137,-0.3032161919888339,1,249879.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_123,DR. MANSUKH MANDAVIYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14062,BEEMAN DHARUAINGAN,249870.0,0.3716315860034857,-0.30323445264652443,1,249870.0,1,1,TAMIL NADU,Construction of boundary walls of existing public and community buildings,INTERNAL_MP_377,ANDIMUTHU RAJA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14063,SARPANCH SACHIV GRAM PANCHAYAT TINSARA,249868.0,0.3715868972605801,-0.30323851057045564,4,62467.0,1,1,MADHYA PRADESH,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",INTERNAL_MP_223,DARSHAN SINGH CHOUDHARY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14064,ABUL KALAM KAYAL,249867.0,0.3715422085176744,-0.3032405395324213,1,249867.0,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_535,BAPI HALDAR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14065,EXECUTIVE ENGINEER EDD LAKSAR,249849.0,0.37149751977476875,-0.3032770608478023,1,249849.0,1,1,UTTARAKHAND,Improvement of electricity distribution infrastructure,INTERNAL_MP_499,TRIVENDRA SINGH RAWAT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14066,NANDISH K,249846.0,0.37145283103186305,-0.30328314773369913,2,124923.0,1,1,KARNATAKA,Street lights,INTERNAL_MP_166,DR C N MANJUNATH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14067,GRAM PANCHAYAT KALAVAD,249832.0,0.3714081422889574,-0.30331155320121767,1,249832.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_116,RAJESHBHAI NARANBHAI CHUDASAMA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14068,S CONSTRUCTION,249825.0,0.37136345354605177,-0.30332575593497696,1,249825.0,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_528,PRATIMA MONDAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14069,BONDLA VENKATI,249808.0,0.3713187648031461,-0.3033602482883923,1,249808.0,1,1,TELANGANA,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",INTERNAL_MP_405,MADHAVANENI RAGHUNANDAN RAO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14070,NANIKORAL GRAM PANCAHAYT,249800.0,0.37127407606024043,-0.30337647998411726,1,249800.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_110,MANSUKHBHAI DHANJIBHAI VASAVA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14071,N A SUBRAMANYA,249798.0,0.37122938731733474,-0.3033805379080485,2,124899.0,1,1,KARNATAKA,Lighting of public spaces,INTERNAL_MP_173,DR.K.SUDHAKAR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14072,RAJYA PARIVARTIT YOJANA GP AMALDIHA,249793.0,0.3711846985744291,-0.3033906827178765,2,124896.5,1,1,CHHATTISGARH,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_089,JYOTSNA CHARANDAS MAHANT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14073,GP LALAP,249782.0,0.37114000983152345,-0.3034130012994983,2,124891.0,1,1,RAJASTHAN,Street lights,INTERNAL_MP_350,SHRI HANUMAN BENIWAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14074,CHETARSUMBA GRAM PANCHAYAT,249777.0,0.37109532108861776,-0.3034231461093263,1,249777.0,1,1,GUJARAT,Construction of footpaths and pedestrian ways,INTERNAL_MP_121,RAJPALSINH MAHENDRASINH JADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14075,PRADIP KUMAR MALLICK,249775.0,0.3710506323457121,-0.3034272040332575,1,249775.0,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_543,SMT SAJDA AHMED,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14076,PRADEEP KUMAR PRADHAN,249759.0,0.3709835992313536,-0.3034596674247073,1,249759.0,1,1,ODISHA,Construction of rooms and halls in school and colleges,INTERNAL_MP_299,PRADEEP PUROHIT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14077,VINZOL GRAM PANCHAYAT,249759.0,0.3709835992313536,-0.3034596674247073,1,249759.0,1,1,GUJARAT,Providing drains and gutters for public drainage,INTERNAL_MP_121,RAJPALSINH MAHENDRASINH JADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14078,BABU CHAUDHARI CONTRACTOR,249750.0,0.37091656611699514,-0.3034779280823978,1,249750.0,1,1,UTTARAKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_500,AJAY BHATT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14079,YUVARAJ A,249744.0,0.37087187737408944,-0.30349010185419145,1,249744.0,1,1,TAMIL NADU,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_376,V S MATHESWARAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14080,SONU SINGH,249728.0,0.3708271886311838,-0.30352256524564125,1,249728.0,1,1,MADHYA PRADESH,Construction of community centers and community halls,INTERNAL_MP_238,DR. RAJESH MISHRA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14081,SAMADISH MAL,249719.0,0.37078249988827816,-0.30354082590333176,1,249719.0,1,1,WEST BENGAL,Installing community drinking water plants,INTERNAL_MP_514,SMT SATABDI ROY (BANERJEE),100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14082,SK TRADERS,249718.0,0.37073781114537246,-0.30354285486529736,3,83239.33333333333,1,1,MADHYA PRADESH,Construction of culverts and bridges,INTERNAL_MP_238,DR. RAJESH MISHRA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14083,BANI SK,249713.0,0.3706931224024668,-0.3035529996751254,1,249713.0,1,1,WEST BENGAL,Installing community drinking water plants,INTERNAL_MP_514,SMT SATABDI ROY (BANERJEE),100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14084,MD SAMIRUDDIN SEKH,249708.0,0.3706484336595612,-0.30356314448495353,1,249708.0,1,1,WEST BENGAL,Installing community drinking water plants,INTERNAL_MP_514,SMT SATABDI ROY (BANERJEE),100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14085,NAGAPPA BARAMAPPA HARAWAL,249704.0,0.3706037449166555,-0.3035712603328159,2,124852.0,1,1,KARNATAKA,Construction of community centers and community halls,INTERNAL_MP_171,RAMESH CHANDAPPA JIGAJINAGI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14086,VIKKEY KUMAR,249694.0,0.37055905617374985,-0.30359154995247206,1,249694.0,1,1,BIHAR,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_071,RAJESH RANJAN ALIAS PAPPU YADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14087,MARGHAKUI GRAM PANCHAYAT,249689.0,0.37051436743084415,-0.3036016947623001,1,249689.0,1,1,GUJARAT,Construction of footpaths and pedestrian ways,INTERNAL_MP_121,RAJPALSINH MAHENDRASINH JADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14088,D B ENTERPRISE,249667.0,0.3704696786879385,-0.3036463319255435,1,249667.0,1,1,ASSAM,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_035,GAURAV GOGOI,100.0,2026-08-26T10:44:17.312957+00:00
